,,,,,,,,,,,,,,,,
,,RandomForest classifier (mean of 1000 times sampled Test data Accuracy and F1 Score),,,,,,,,,,,,,,
Methods →,Base,,Base + Volume,,Base + IoU,,Base + Inverse CV,,Base + Instance IoU,,Mean Sample Scores Instance IoU,,Base + Instance Inverse CV,,Mean Sample Scores Instance CV,
Models,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score
Manual Data,0.731,0.544,0.719,0.564,,,,,,,,,,,,
MC_Drop,0.732,0.545,0.726,0.571,0.723,0.563,0.726,0.563,0.725,0.570,0.726,0.570,0.726,0.571,0.727,0.572
Bayesian,0.732,0.545,0.716,0.556,0.725,0.562,0.729,0.565,0.716,0.557,0.716,0.557,0.715,0.556,0.715,0.556
Probabilistic,0.731,0.544,0.721,0.567,0.732,0.578,0.715,0.544,0.720,0.566,0.720,0.565,0.721,0.566,0.721,0.566
Hierarchical,0.732,0.545,0.722,0.568,0.720,0.556,0.725,0.567,0.722,0.568,0.721,0.566,0.722,0.567,0.722,0.567
,,,,,,,,,,,,,,,,
,,GLM classifier (mean of 1000 times sampled Test data Accuracy and F1 Score),,,,,,,,,,,,,,
Methods →,Base,,Base + Volume,,Base + IoU,,Base + Inverse CV,,Base + Instance IoU,,Mean Sample Scores Instance IoU,,Base + Instance Inverse CV,,Mean Sample Scores Instance CV,
Models,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score
Manual Data,0.783,0.652,0.785,0.655,,,,,,,,,,,,
MC_Drop,0.783,0.652,0.784,0.656,0.777,0.642,0.772,0.641,0.783,0.652,0.783,0.653,0.774,0.641,0.774,0.640
Bayesian,0.783,0.652,0.779,0.650,0.776,0.645,0.779,0.651,0.778,0.644,0.778,0.645,0.766,0.615,0.766,0.616
Probabilistic,0.783,0.652,0.780,0.652,0.773,0.640,0.775,0.643,0.780,0.652,0.781,0.652,0.777,0.638,0.777,0.638
Hierarchical,0.783,0.652,0.783,0.656,0.775,0.639,0.778,0.652,0.783,0.656,0.783,0.656,0.768,0.633,0.768,0.633
,,,,,,,,,,,,,,,,
,,RandomForest classifier Volume only (mean of 1000 times sampled Test data Accuracy and F1 Score),,,,,,,,,,,,,,
Methods →,Base,, Volume,, IoU,, Inverse CV,, Instance IoU,,Mean Sample Scores Instance IoU,, Instance Inverse CV,,Mean Sample Scores Instance CV,
Models,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score
Manual Data,0.732,0.543,0.602,0.423,,,,,,,,,,,,
MC_Drop,0.732,0.543,0.563,0.358,0.648,0.421,0.639,0.386,0.563,0.357,0.595,0.385,0.563,0.358,0.596,0.385
Bayesian,0.732,0.542,0.592,0.403,0.652,0.416,0.652,0.415,0.592,0.403,0.607,0.387,0.592,0.403,0.607,0.387
Probabilistic,0.732,0.542,0.578,0.380,0.648,0.418,0.636,0.394,0.578,0.380,0.579,0.377,0.578,0.380,0.579,0.377
Hierarchical,0.731,0.542,0.600,0.419,0.667,0.429,0.631,0.394,0.600,0.419,0.600,0.416,0.600,0.419,0.600,0.416
,,,,,,,,,,,,,,,,
,,GLM classifier Volume only (mean of 1000 times sampled Test data Accuracy and F1 Score),,,,,,,,,,,,,,
Methods →,Base,,Volume,,IoU,, Inverse CV,,Instance IoU,,Mean Sample Scores Instance IoU,,Instance Inverse CV,,Mean Sample Scores Instance CV,
Models,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score,Accuracy,F1 Score
Manual Data,0.783,0.652,0.713,0.467,,,,,,,,,,,,
MC_Drop,0.783,0.652,0.702,0.431,0.719,0.466,0.709,0.446,0.705,0.427,0.706,0.429,0.707,NA,0.708,NA
Bayesian,0.783,0.652,0.692,0.375,0.705,0.435,0.696,0.413,0.694,0.368,0.695,0.366,0.696,NA,0.696,NA
Probabilistic,0.783,0.652,0.691,0.407,0.719,0.474,0.696,0.438,0.691,0.406,0.691,0.406,0.696,NA,0.696,NA
Hierarchical,0.783,0.652,0.702,0.430,0.714,0.449,0.694,0.421,0.703,0.429,0.703,0.429,0.699,NA,0.699,NA
,,,,,,,,GLM UKB,,,,,,,,
,0.627,0.610,0.523,0.499,0.526,0.504,0.525,0.504,0.524,0.498,0.524,0.498,0.527,NA,0.527,NA
,0.627,0.610,0.494,0.494,0.501,0.459,0.506,0.491,0.498,NA,0.499,NA,0.499,NA,0.499,NA
,0.627,0.610,0.492,0.490,0.489,0.439,0.489,0.485,0.492,NA,0.492,NA,0.496,NA,0.496,NA
,0.627,0.610,0.492,0.493,0.496,0.471,0.494,0.506,0.493,NA,0.493,NA,0.496,NA,0.496,NA
,,,,,,,,,,,,,,,,
,0.638,0.626,0.485,0.482,0.481,0.479,0.504,0.504,0.485,0.482,0.501,0.451,0.485,0.482,0.501,0.451
,0.639,0.626,0.477,0.475,0.504,0.505,0.493,0.493,0.477,0.476,0.490,0.440,0.477,0.475,0.490,0.440
,0.638,0.625,0.499,0.498,0.503,0.505,0.501,0.502,0.499,0.498,0.504,0.488,0.499,0.498,0.504,0.488
,0.638,0.627,0.508,0.506,0.521,0.520,0.495,0.492,0.508,0.506,0.504,0.476,0.508,0.506,0.504,0.476
,,,,,,,,,,,,,,,,
,0.646,0.626,0.643,0.625,0.642,0.623,0.639,0.620,0.643,0.624,0.642,0.624,0.640,0.615,0.640,0.615
,0.646,0.626,0.645,0.626,0.643,0.625,0.641,0.623,0.645,0.626,0.645,0.626,0.642,0.620,0.642,0.620
,0.646,0.626,0.643,0.625,0.642,0.624,0.642,0.623,0.643,0.625,0.643,0.625,0.641,0.624,0.641,0.624
,0.646,0.626,0.643,0.625,0.640,0.623,0.642,0.624,0.644,0.625,0.644,0.625,0.639,0.622,0.639,0.622